itemid,name,bomc_id,timestamp,value,cmdb_id
999999996381330,container_mem_used,ZJ-004-060,1590076800000,70.000000,docker_008
999999996381334,container_cpu_used,ZJ-004-059,1590076800000,0.000000,docker_008
999999996353968,container_thread_used_pct,ZJ-004-061,1590076800000,0.000000,docker_008
999999996381324,container_session_used,ZJ-004-058,1590076800000,0.000000,docker_008
999999996381332,container_fgc,ZJ-004-103,1590076800000,0.000000,docker_008
999999996381321,container_thread_total,ZJ-004-064,1590076800000,0.000000,docker_008
999999996381322,container_thread_running,ZJ-004-062,1590076800000,0.000000,docker_008
999999996381333,container_fgct,ZJ-004-104,1590076800000,0.000000,docker_008
999999996381323,container_thread_idle,ZJ-004-063,1590076800000,0.000000,docker_008
999999996381254,container_thread_idle,ZJ-004-063,1590076810000,0.000000,docker_005
999999996381252,container_thread_total,ZJ-004-064,1590076810000,0.000000,docker_005
999999996381264,container_fgct,ZJ-004-104,1590076810000,0.000000,docker_005
999999996381265,container_cpu_used,ZJ-004-059,1590076810000,0.000000,docker_005
999999996381253,container_thread_running,ZJ-004-062,1590076810000,0.000000,docker_005
999999996381261,container_mem_used,ZJ-004-060,1590076810000,58.000000,docker_005
999999996381255,container_session_used,ZJ-004-058,1590076810000,0.000000,docker_005
999999996381263,container_fgc,ZJ-004-103,1590076810000,0.000000,docker_005
999999996353971,container_thread_used_pct,ZJ-004-061,1590076810000,0.000000,docker_005
999999996381368,container_thread_running,ZJ-004-062,1590076821000,0.000000,docker_002
999999996353966,container_thread_used_pct,ZJ-004-061,1590076821000,0.000000,docker_002
999999996381380,container_cpu_used,ZJ-004-059,1590076821000,3.000000,docker_002
999999996381378,container_fgc,ZJ-004-103,1590076821000,0.000000,docker_002
999999996381379,container_fgct,ZJ-004-104,1590076821000,0.000000,docker_002
999999996381370,container_session_used,ZJ-004-058,1590076821000,0.000000,docker_002
999999996381367,container_thread_total,ZJ-004-064,1590076821000,0.000000,docker_002
999999996381376,container_mem_used,ZJ-004-060,1590076821000,40.000000,docker_002
999999996381369,container_thread_idle,ZJ-004-063,1590076821000,0.000000,docker_002
999999996381420,container_thread_running,ZJ-004-062,1590076830000,0.000000,docker_004
999999996381424,container_session_used,ZJ-004-058,1590076830000,0.000000,docker_004
999999996381436,container_mem_used,ZJ-004-060,1590076830000,45.000000,docker_004
999999996381298,container_thread_total,ZJ-004-064,1590076830000,0.000000,docker_007
999999996381310,container_fgct,ZJ-004-104,1590076830000,0.000000,docker_007
999999996381440,container_fgct,ZJ-004-104,1590076830000,0.000000,docker_004
999999996381390,container_thread_total,ZJ-004-064,1590076830000,0.000000,docker_003
999999996353964,container_thread_used_pct,ZJ-004-061,1590076830000,0.000000,docker_004
999999996381442,container_fgc,ZJ-004-103,1590076830000,0.000000,docker_004
999999996381402,container_fgct,ZJ-004-104,1590076830000,0.000000,docker_003
999999996381300,container_thread_idle,ZJ-004-063,1590076830000,0.000000,docker_007
999999996381418,container_thread_total,ZJ-004-064,1590076830000,0.000000,docker_004
999999996353965,container_thread_used_pct,ZJ-004-061,1590076830000,0.000000,docker_003
999999996381403,container_cpu_used,ZJ-004-059,1590076830000,13.000000,docker_003
999999996353969,container_thread_used_pct,ZJ-004-061,1590076830000,0.000000,docker_007
999999996381399,container_mem_used,ZJ-004-060,1590076830000,45.000000,docker_003
999999996381301,container_session_used,ZJ-004-058,1590076830000,0.000000,docker_007
999999996381391,container_thread_running,ZJ-004-062,1590076830000,0.000000,docker_003
999999996381309,container_fgc,ZJ-004-103,1590076830000,0.000000,docker_007
999999996381392,container_thread_idle,ZJ-004-063,1590076830000,0.000000,docker_003
999999996381299,container_thread_running,ZJ-004-062,1590076830000,0.000000,docker_007
